path,filename,label,phash,cluster,split
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (1).jpg,Malignant case (1).jpg,malignant,dc6cf465ba6da41412c108014a82aee1,0,train
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (10).jpg,Malignant case (10).jpg,malignant,dc392583c4ffe5b13814be850a3fe80e,1,train
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (100).jpg,Malignant case (100).jpg,malignant,8b8aeac6dbfe2b73b92df655055c453a,2,val
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (101).jpg,Malignant case (101).jpg,malignant,1d7cbcefd2fbecd252a59dd61d686b89,2,val
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (102).jpg,Malignant case (102).jpg,malignant,0fe42653b8a8b5da2f31d1f75fc4bd64,2,val
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (103).jpg,Malignant case (103).jpg,malignant,338dca6df5a523b0ea2c88edc4ab7805,2,val
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (104).jpg,Malignant case (104).jpg,malignant,9ce2c3ced7a3aa01771f86ce1cdf2ae9,2,val
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (105).jpg,Malignant case (105).jpg,malignant,32c2e08cc7b55923e4fc2ae3c337776a,2,val
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (106).jpg,Malignant case (106).jpg,malignant,e943617a237944959e3f7296ff21f2ac,2,val
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (107).jpg,Malignant case (107).jpg,malignant,d18007009bbf61d841e8030eb7a3d6e8,2,val
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (108).jpg,Malignant case (108).jpg,malignant,9b8710625ab6618254c62973bb3946b6,2,val
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (109).jpg,Malignant case (109).jpg,malignant,56ea87666f3570aff5da51559f4fe5de,3,train
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (11).jpg,Malignant case (11).jpg,malignant,621dedf16cb81613293c3db0d3e72b4a,1,train
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (110).jpg,Malignant case (110).jpg,malignant,faded1a609d2eafcfda25495c3e48612,4,train
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (111).jpg,Malignant case (111).jpg,malignant,e92fc79c4c2c3c076a8d1e3c916da514,4,train
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (112).jpg,Malignant case (112).jpg,malignant,dccc5d7b3a8d72d77d468b6b95857fb3,4,train
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (113).jpg,Malignant case (113).jpg,malignant,5b221993d0fe2dc7819d043c932ac0a9,4,train
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (114).jpg,Malignant case (114).jpg,malignant,51707ca42f2b6310e0533169cfd1c69c,4,train
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (115).jpg,Malignant case (115).jpg,malignant,34cdd9f105839af2f5b6600ebed1a732,4,train
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (116).jpg,Malignant case (116).jpg,malignant,d457e2a8ac093b4dc4865c4d6dbe686d,4,train
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (117).jpg,Malignant case (117).jpg,malignant,c33f7e58524ce090bc9a295a54abafa5,4,train
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (118).jpg,Malignant case (118).jpg,malignant,7a9ed218d4f9cbca13503d8c7201293d,4,train
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (119).jpg,Malignant case (119).jpg,malignant,f2db8107eb1a8f79c86b382b1c0b75bd,4,train
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (12).jpg,Malignant case (12).jpg,malignant,c6eebd81aa95d1cee56031939f5c17fe,1,train
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (120).jpg,Malignant case (120).jpg,malignant,1e58ca1f419788313c2208c4ae67d66d,4,train
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (121).jpg,Malignant case (121).jpg,malignant,3a6648b6efa56e089dd800a1574d1866,4,train
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (122).jpg,Malignant case (122).jpg,malignant,426cc1bb5712771abf810646ac5622c3,5,train
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (123).jpg,Malignant case (123).jpg,malignant,cbfa969c3bdf6cb183fb1b4294b7f7d3,5,train
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (124).jpg,Malignant case (124).jpg,malignant,b6a50692f17fefd861d5960d547be077,5,train
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (125).jpg,Malignant case (125).jpg,malignant,eca13efb13db23be9642f4c214d6eff8,5,train
