path,filename,label,phash
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (1).jpg,Malignant case (1).jpg,cancer,76580979dc2f2982f134b3c012e238fe
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (10).jpg,Malignant case (10).jpg,cancer,44fb6d0ca788c87ce19037c8e069390d
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (100).jpg,Malignant case (100).jpg,cancer,4313540b95911465483ea20378204b92
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (101).jpg,Malignant case (101).jpg,cancer,4ed41795f3dad4381e2c6d2d046d6d93
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (102).jpg,Malignant case (102).jpg,cancer,498cd4b2c6a44afde3c0690322f30915
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (103).jpg,Malignant case (103).jpg,cancer,9a3649db805e97b56e18aa7f78ccb672
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (104).jpg,Malignant case (104).jpg,cancer,350fc417af394c364e15d16a85d81bb0
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (105).jpg,Malignant case (105).jpg,cancer,ec85e9b3f47293c6899bb2b1480f5d4a
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (106).jpg,Malignant case (106).jpg,cancer,7ce73e17afd331c23caf4d4ca5988bd9
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (107).jpg,Malignant case (107).jpg,cancer,a1e4c45cb13677d207702f8fcd6695a3
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (108).jpg,Malignant case (108).jpg,cancer,824047bd1d7e3409c4de598c6853b3fa
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (109).jpg,Malignant case (109).jpg,cancer,dad92c7c64f8cedba0756aa7f85f97f7
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (11).jpg,Malignant case (11).jpg,cancer,05467ac2b2ebe626a42ab06bb389d756
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (110).jpg,Malignant case (110).jpg,cancer,975e65d061ca774de5b55ef18f3030f8
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (111).jpg,Malignant case (111).jpg,cancer,9d7a02f5de10d8f33670c070bfa13b3a
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (112).jpg,Malignant case (112).jpg,cancer,9bc97ca79d509c83b308583dfda99a7c
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (113).jpg,Malignant case (113).jpg,cancer,30b0ecd8d24ba864826a9f96d1f908a5
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (114).jpg,Malignant case (114).jpg,cancer,8be388e46fdcc5fb2eab7b0f44d4264e
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (115).jpg,Malignant case (115).jpg,cancer,87227ef829c5aa6be8796cd2c47b4e03
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (116).jpg,Malignant case (116).jpg,cancer,62fda59358d6b76f55e913d86abee070
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (117).jpg,Malignant case (117).jpg,cancer,770d0ae01fe1b8cb619e5557e0663f5e
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (118).jpg,Malignant case (118).jpg,cancer,b039bc2c6fa47fa489b1aa02421824bf
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (119).jpg,Malignant case (119).jpg,cancer,4159e81e5ab9d79b4ace7ca5cde553ed
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (12).jpg,Malignant case (12).jpg,cancer,ee3e8ac4d370a62cd9739608989751e6
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (120).jpg,Malignant case (120).jpg,cancer,e07f5bfc37cfe44a88bfdf6b9f90bcab
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (121).jpg,Malignant case (121).jpg,cancer,d29b96d7d636d160760675fa7266ec0c
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (122).jpg,Malignant case (122).jpg,cancer,e81926a2e73004627020d3ddda229df4
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (123).jpg,Malignant case (123).jpg,cancer,b27dd37c94daa315285053ed6547353c
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (124).jpg,Malignant case (124).jpg,cancer,2e4cb45d0a02d555ccd2607b93339a20
D:\skripsi\dataset_external\iqothnccd\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (125).jpg,Malignant case (125).jpg,cancer,67bfdf0d6dca2ef433c5f8928d60170c
