berkas,kategori,prob_ct,keputusan,sesuai,path,thumbnail
1.3.6.1.4.1.14519.5.2.1.6279.6001.177685820605315926524514718990.png,Citra CT paru-paru (Malignant),0.9821656346321106,Diterima,True,D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.177685820605315926524514718990.png,vi_01.png
1.3.6.1.4.1.14519.5.2.1.6279.6001.699408489230474820984000839814.png,Citra CT paru-paru (Malignant),0.9954860806465149,Diterima,True,D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.699408489230474820984000839814.png,vi_02.png
adenocarcinoma (269).png,Citra CT paru-paru (Malignant),0.9012224078178406,Diterima,True,D:\skripsi\Dataset\CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)\adenocarcinoma\adenocarcinoma (269).png,vi_03.png
Malignant case (97).jpg,Citra CT paru-paru (Malignant),0.9674630761146545,Diterima,True,D:\skripsi\Dataset\The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy )\Malignant cases\Malignant case (97).jpg,vi_04.png
1.3.6.1.4.1.14519.5.2.1.6279.6001.178680586845223339579041794709.png,Citra CT paru-paru (Benign),0.9851117730140686,Diterima,True,D:\skripsi\Dataset\lidc-idri-images-full\Benign\1.3.6.1.4.1.14519.5.2.1.6279.6001.178680586845223339579041794709.png,vi_05.png
1.3.6.1.4.1.14519.5.2.1.6279.6001.281254424459536762125243157973.png,Citra CT paru-paru (Benign),0.9833588004112244,Diterima,True,D:\skripsi\Dataset\lidc-idri-images-full\Benign\1.3.6.1.4.1.14519.5.2.1.6279.6001.281254424459536762125243157973.png,vi_06.png
Bengin case (33).jpg,Citra CT paru-paru (Benign),0.9802646636962891,Diterima,True,D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\train\Bengin cases\Bengin case (33).jpg,vi_07.png
1.3.6.1.4.1.14519.5.2.1.6279.6001.674809958213117379592437424616.png,Citra CT paru-paru (Benign),0.9969249367713928,Diterima,True,D:\skripsi\Dataset\lidc-idri-images-full\Benign\1.3.6.1.4.1.14519.5.2.1.6279.6001.674809958213117379592437424616.png,vi_08.png
Normal case (381).jpg,Citra CT paru-paru (Normal),0.9518557786941528,Diterima,True,D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\train\normal\Normal case (381).jpg,vi_09.png
8.png,Citra CT paru-paru (Normal),0.9583081603050232,Diterima,True,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\train\normal\8.png,vi_10.png
Normal case (380).jpg,Citra CT paru-paru (Normal),0.9510514140129089,Diterima,True,D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\train\normal\Normal case (380).jpg,vi_11.png
Normal case (27).jpg,Citra CT paru-paru (Normal),0.9625058174133301,Diterima,True,D:\skripsi\Dataset\IQ-OTHNCCD - Lung Cancer Dataset (Aditya Mahimkar)\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (27).jpg,vi_12.png
000000050896.jpg,Bukan citra CT paru-paru (objek umum),0.2097485363483429,Ditolak,True,D:\skripsi\Dataset\Dataset COCO\val2017\000000050896.jpg,vi_13.png
000000405972.jpg,Bukan citra CT paru-paru (objek umum),0.0100960498675704,Ditolak,True,D:\skripsi\Dataset\Dataset COCO\val2017\000000405972.jpg,vi_14.png
000000498463.jpg,Bukan citra CT paru-paru (objek umum),0.16170886158943176,Ditolak,True,D:\skripsi\Dataset\Dataset COCO\val2017\000000498463.jpg,vi_15.png
000000380203.jpg,Bukan citra CT paru-paru (objek umum),0.04218786954879761,Ditolak,True,D:\skripsi\Dataset\Dataset COCO\val2017\000000380203.jpg,vi_16.png
000000252776.jpg,Bukan citra CT paru-paru (objek umum),0.0347050279378891,Ditolak,True,D:\skripsi\Dataset\Dataset COCO\val2017\000000252776.jpg,vi_17.png
000000256775.jpg,Bukan citra CT paru-paru (objek umum),0.011930211447179317,Ditolak,True,D:\skripsi\Dataset\Dataset COCO\val2017\000000256775.jpg,vi_18.png
000000052017.jpg,Bukan citra CT paru-paru (objek umum),0.07246192544698715,Ditolak,True,D:\skripsi\Dataset\Dataset COCO\val2017\000000052017.jpg,vi_19.png
000000451090.jpg,Bukan citra CT paru-paru (objek umum),0.21695220470428467,Ditolak,True,D:\skripsi\Dataset\Dataset COCO\val2017\000000451090.jpg,vi_20.png
